CaseID,FirstName,LastName,Role
CIV-100066,Denise,Holden,Plaintiff
CIV-100066,Kathleen,Perez,Defendant
CIV-100066,Mary,Gibson,Judge
CIV-100067,Roy,Dudley,Prosecutor
CIV-100067,Ryan,Davis,Defendant
CIV-100067,Tammy,Navarro,Judge
CIV-100068,Henry,Brown,Plaintiff
CIV-100068,Anthony,Zuniga,Defendant
CIV-100068,Brenda,Acosta,Judge
CIV-100069,Angelica,King,Plaintiff
CIV-100069,Charles,Morris,Defendant
CIV-100069,Megan,Clark,Judge
CIV-100070,Anna,Green,Plaintiff
CIV-100070,Daniel,Collins,Defendant
CIV-100070,Tiffany,Hudson,Judge
CIV-100071,Rachel,Miller,Plaintiff
CIV-100071,Jennifer,Bailey,Defendant
CIV-100071,Lisa,Myers,Judge
CIV-100072,Shirley,Stevens,Plaintiff
CIV-100072,Cameron,Cannon,Defendant
CIV-100072,Amy,Hicks,Judge
CIV-100073,Brittany,Perez,Plaintiff
CIV-100073,Deborah,Carter,Defendant
CIV-100073,James,Lee,Judge
CIV-100074,Sara,Myers,Plaintiff
CIV-100074,Veronica,Harding,Defendant
CIV-100074,James,Clark,Judge
CIV-100075,Gina,Humphrey,Plaintiff
CIV-100075,Nicholas,Bell,Defendant
CIV-100075,Sonya,Meyer,Judge
CIV-100076,David,Palmer,Plaintiff
CIV-100076,Kim,Freeman,Defendant
CIV-100076,Joseph,Christensen,Judge
CIV-100077,Joshua,Silva,Plaintiff
CIV-100077,Sandra,Kelly,Defendant
CIV-100077,Stephanie,Glenn,Judge
CIV-100078,Elizabeth,Hall,Plaintiff
CIV-100078,Victoria,Nelson,Defendant
CIV-100078,Gregg,Davis,Judge
CIV-100079,Daniel,Thompson,Plaintiff
CIV-100079,Michael,Payne,Defendant
CIV-100079,Steven,Stanton,Judge
CIV-100080,Elizabeth,Atkins,Plaintiff
CIV-100080,Mathew,Griffin,Defendant
CIV-100080,Doris,Meza,Judge
CIV-100081,Joshua,Hernandez,Plaintiff
CIV-100081,Kayla,Silva,Defendant
CIV-100081,Dawn,Black,Judge
CIV-100082,Lee,Merritt,Plaintiff
CIV-100082,Steven,Hill,Defendant
CIV-100082,Michael,Casey,Judge
CIV-100083,Cody,Gardner,Plaintiff
CIV-100083,Jonathan,Nelson,Defendant
CIV-100083,Todd,Fox,Judge
CIV-100084,Patricia,Reilly,Plaintiff
CIV-100084,Kevin,Case,Defendant
CIV-100084,Richard,Reese,Judge
CIV-100085,Ashley,Howard,Plaintiff
CIV-100085,Calvin,Wright,Defendant
CIV-100085,Robert,Brown,Judge
CIV-100086,Henry,Perez,Plaintiff
CIV-100086,Kimberly,Wilkins,Defendant
CIV-100086,Emily,Thomas,Judge
CIV-100087,Andrew,Bishop,Plaintiff
CIV-100087,Anthony,Lane,Defendant
CIV-100087,Samantha,Acosta,Judge
CIV-100088,Nathan,Alexander,Prosecutor
CIV-100088,Devon,Pittman,Defendant
CIV-100088,Monica,Schneider,Judge
CIV-100089,Charles,Kelley,Prosecutor
CIV-100089,Clifford,Fry,Defendant
CIV-100089,David,Gonzales,Judge
CIV-100090,Kevin,Moses,Prosecutor
CIV-100090,John,Parks,Defendant
CIV-100090,Mike,Gonzalez,Judge
CIV-100091,Alexis,Lee,Plaintiff
CIV-100091,Gary,Brown,Defendant
CIV-100091,Jessica,Arnold,Judge
CIV-100092,Andrea,Williams,Plaintiff
CIV-100092,Michael,Sanders,Defendant
CIV-100092,Erica,Whitehead,Judge
CIV-100093,Nicole,Espinoza,Plaintiff
CIV-100093,Patrick,Young,Defendant
CIV-100093,Dustin,Mendoza,Judge
CIV-100094,Christopher,Young,Prosecutor
CIV-100094,Daniel,Vasquez,Defendant
CIV-100094,Danielle,Harris,Judge
CIV-100095,Rachel,Smith,Plaintiff
CIV-100095,Stephanie,Foley,Defendant
CIV-100095,Joshua,Tran,Judge
CIV-100096,Shannon,Brown,Plaintiff
CIV-100096,Brian,Gonzalez,Defendant
CIV-100096,Susan,Schwartz,Judge
CIV-100097,Becky,White,Plaintiff
CIV-100097,Sean,Morris,Defendant
CIV-100097,Madeline,Fuentes,Judge
CIV-100098,Kenneth,Horn,Plaintiff
CIV-100098,Richard,Miller,Defendant
CIV-100098,Christopher,Jones,Judge
CIV-100099,Jeffery,Mccann,Plaintiff
CIV-100099,Clifford,Williams,Defendant
CIV-100099,Felicia,Cameron,Judge
CIV-100100,Andrew,George,Prosecutor
CIV-100100,Stephanie,Lester,Defendant
CIV-100100,Keith,Freeman,Judge
CIV-100101,Kathy,Franklin,Plaintiff
CIV-100101,Mark,Ball,Defendant
CIV-100101,Benjamin,Anderson,Judge
CIV-100102,Christina,Thomas,Plaintiff
CIV-100102,Tyler,Gentry,Defendant
CIV-100102,Grace,Williams,Judge
CIV-100103,Catherine,Perry,Plaintiff
CIV-100103,Douglas,Andrews,Defendant
CIV-100103,James,Smith,Judge
CIV-100104,David,Anderson,Plaintiff
CIV-100104,Michelle,Johnson,Defendant
CIV-100104,Jennifer,Vega,Judge
CIV-100105,Jacqueline,Vargas,Plaintiff
CIV-100105,Shawn,Ramos,Defendant
CIV-100105,Tony,Taylor,Judge
CIV-100106,Jerry,Tate,Prosecutor
CIV-100106,Linda,Noble,Defendant
CIV-100106,Susan,Ho,Judge
CIV-100107,Kelly,Young,Plaintiff
CIV-100107,Jason,Fox,Defendant
CIV-100107,Karen,Hernandez,Judge
CIV-100108,Jerry,Fleming,Plaintiff
CIV-100108,Daniel,Andrade,Defendant
CIV-100108,Robert,Morris,Judge
CIV-100109,Donna,Cervantes,Plaintiff
CIV-100109,Darryl,Hernandez,Defendant
CIV-100109,Gina,Lyons,Judge
CIV-100110,Jaclyn,Taylor,Plaintiff
CIV-100110,Jamie,Hamilton,Defendant
CIV-100110,Kristen,Hall,Judge
CIV-100111,Kelly,Tucker,Plaintiff
CIV-100111,David,Ramirez,Defendant
CIV-100111,Stacy,Walker,Judge
CIV-100112,Cheryl,Wyatt,Plaintiff
CIV-100112,Eric,Mitchell,Defendant
CIV-100112,Denise,Carter,Judge
CIV-100113,Shannon,Peterson,Prosecutor
CIV-100113,Melissa,Patterson,Defendant
CIV-100113,Victoria,Hernandez,Judge
CIV-100114,Roy,Owens,Plaintiff
CIV-100114,Joseph,Tucker,Defendant
CIV-100114,Brian,Brown,Judge
CIV-100115,Calvin,Marshall,Plaintiff
CIV-100115,Jacqueline,Watson,Defendant
CIV-100115,Philip,Ross,Judge
CIV-100116,Arthur,Mckenzie,Plaintiff
CIV-100116,Jennifer,Jones,Defendant
CIV-100116,Lauren,Ruiz,Judge
CIV-100117,Paul,Odonnell,Plaintiff
CIV-100117,Charles,Phillips,Defendant
CIV-100117,Michael,Flores,Judge
CIV-100118,Matthew,Whitaker,Plaintiff
CIV-100118,Caitlin,Hawkins,Defendant
CIV-100118,Brandi,Simmons,Judge
CIV-100119,Stacy,Mueller,Prosecutor
CIV-100119,Ricky,Price,Defendant
CIV-100119,Kelly,Martin,Judge
CIV-100120,Mary,Casey,Plaintiff
CIV-100120,Karl,Boyd,Defendant
CIV-100120,David,Pearson,Judge
CIV-100121,Darren,Savage,Plaintiff
CIV-100121,Jim,Carrillo,Defendant
CIV-100121,Kevin,Peterson,Judge
CIV-100122,Sherry,Summers,Plaintiff
CIV-100122,Jason,Fleming,Defendant
CIV-100122,Teresa,Bradley,Judge
CIV-100123,Zachary,Rodriguez,Plaintiff
CIV-100123,Jorge,Patrick,Defendant
CIV-100123,Robert,Edwards,Judge
CIV-100124,Bernard,Kim,Prosecutor
CIV-100124,Brian,Parker,Defendant
CIV-100124,Denise,Fuller,Judge
CIV-100125,Jason,Atkins,Plaintiff
CIV-100125,Amber,Martinez,Defendant
CIV-100125,Erin,Park,Judge
CIV-100126,Carmen,Martin,Prosecutor
CIV-100126,Bailey,Daniel,Defendant
CIV-100126,Erin,Le,Judge
CIV-100127,Lisa,Hansen,Plaintiff
CIV-100127,Norma,Valdez,Defendant
CIV-100127,Jacqueline,Collins,Judge
CIV-100128,Blake,Bowman,Plaintiff
CIV-100128,Randall,Dixon,Defendant
CIV-100128,Latasha,Schultz,Judge
CIV-100129,Karen,Atkinson,Plaintiff
CIV-100129,John,Herrera,Defendant
CIV-100129,Margaret,Wilson,Judge
CIV-100130,Lisa,Alvarez,Plaintiff
CIV-100130,Heidi,Mckenzie,Defendant
CIV-100130,Kevin,White,Judge
CIV-100131,Dan,Murray,Prosecutor
CIV-100131,Patricia,Berry,Defendant
CIV-100131,Danielle,Brown,Judge
CIV-100132,Eric,Smith,Plaintiff
CIV-100132,Nathan,Sloan,Defendant
CIV-100132,Kevin,Boone,Judge
CIV-100133,David,Morales,Plaintiff
CIV-100133,Justin,Lane,Defendant
CIV-100133,Joe,Alvarez,Judge
CIV-100134,John,Lambert,Prosecutor
CIV-100134,Rebecca,Craig,Defendant
CIV-100134,Sharon,Jenkins,Judge
CIV-100135,Betty,King,Plaintiff
CIV-100135,Kristen,Wagner,Defendant
CIV-100135,Rita,Garcia,Judge
CIV-100136,Tyler,Davidson,Prosecutor
CIV-100136,Michael,Winters,Defendant
CIV-100136,Marisa,Hatfield,Judge
CIV-100137,Brian,Williams,Plaintiff
CIV-100137,Arthur,Floyd,Defendant
CIV-100137,Rhonda,Hunter,Judge
CIV-100138,Deborah,Garcia,Plaintiff
CIV-100138,James,Klein,Defendant
CIV-100138,Amanda,Carpenter,Judge
CIV-100139,Richard,Clay,Prosecutor
CIV-100139,George,Ortega,Defendant
CIV-100139,Deborah,Patel,Judge
CIV-100140,Sherry,King,Plaintiff
CIV-100140,Kyle,Kaufman,Defendant
CIV-100140,Lisa,Perez,Judge
CIV-100141,William,Nguyen,Plaintiff
CIV-100141,Edward,Wagner,Defendant
CIV-100141,Joanna,Levy,Judge
CIV-100142,Tiffany,Harmon,Plaintiff
CIV-100142,Christopher,Swanson,Defendant
CIV-100142,Kyle,Daniels,Judge
CIV-100143,Jason,Hill,Plaintiff
CIV-100143,Troy,Williams,Defendant
CIV-100143,Noah,George,Judge
CIV-100144,Jason,Harrison,Plaintiff
CIV-100144,Kelsey,Boyer,Defendant
CIV-100144,Maria,Norton,Judge
CIV-100145,James,Morgan,Plaintiff
CIV-100145,Jerry,Palmer,Defendant
CIV-100145,Robin,Baker,Judge
CIV-100146,Sherri,Johnston,Plaintiff
CIV-100146,Mark,Estrada,Defendant
CIV-100146,Shannon,Huang,Judge
CIV-100147,Amanda,Houston,Plaintiff
CIV-100147,Bryan,Wells,Defendant
CIV-100147,Catherine,Nixon,Judge
CIV-100148,Joseph,Young,Plaintiff
CIV-100148,Tracey,Gutierrez,Defendant
CIV-100148,Brad,Clark,Judge
CIV-100149,Daniel,Maxwell,Plaintiff
CIV-100149,Stephanie,Gibson,Defendant
CIV-100149,Candice,Davis,Judge
CIV-100150,Allison,Todd,Plaintiff
CIV-100150,Stephanie,Barrett,Defendant
CIV-100150,Cindy,Smith,Judge
CIV-100151,Ricky,Meyer,Plaintiff
CIV-100151,Brittney,Lowe,Defendant
CIV-100151,Shawn,Curtis,Judge
CIV-100152,Dustin,Harrison,Plaintiff
CIV-100152,Wayne,Craig,Defendant
CIV-100152,Shelley,Mitchell,Judge
CIV-100153,James,Gregory,Plaintiff
CIV-100153,Maria,Harris,Defendant
CIV-100153,Ronald,Hunter,Judge
CIV-100154,Courtney,Downs,Prosecutor
CIV-100154,Nicholas,Brooks,Defendant
CIV-100154,Jessica,Pham,Judge
CIV-100155,Ian,Moreno,Plaintiff
CIV-100155,Cynthia,Rhodes,Defendant
CIV-100155,Judy,Mann,Judge
CIV-100156,Jessica,Miller,Plaintiff
CIV-100156,Eric,Scott,Defendant
CIV-100156,Stephen,Green,Judge
CIV-100157,Leslie,Jackson,Plaintiff
CIV-100157,Anita,Gonzalez,Defendant
CIV-100157,Denise,Peck,Judge
CIV-100158,Michelle,Roy,Plaintiff
CIV-100158,Steven,Wilson,Defendant
CIV-100158,Gary,Pierce,Judge
CIV-100159,Melissa,Page,Plaintiff
CIV-100159,Yvonne,Jackson,Defendant
CIV-100159,Gary,Austin,Judge
CIV-100160,Keith,Maldonado,Prosecutor
CIV-100160,Katherine,Phillips,Defendant
CIV-100160,Louis,Hopkins,Judge
CIV-100161,William,White,Plaintiff
CIV-100161,Margaret,Hawkins,Defendant
CIV-100161,Alison,Edwards,Judge
CIV-100162,Richard,Rogers,Plaintiff
CIV-100162,Ashley,Baldwin,Defendant
CIV-100162,Chad,Powers,Judge
CIV-100163,Matthew,Morgan,Plaintiff
CIV-100163,David,Anthony,Defendant
CIV-100163,Kimberly,Jones,Judge
CIV-100164,William,Salinas,Plaintiff
CIV-100164,Charlene,Jones,Defendant
CIV-100164,Felicia,Cook,Judge
CIV-100165,Paul,Gonzalez,Prosecutor
CIV-100165,Gary,Scott,Defendant
CIV-100165,Maria,Burton,Judge
CIV-100166,Brian,Haynes,Plaintiff
CIV-100166,William,Gray,Defendant
CIV-100166,Kelsey,Dixon,Judge
CIV-100167,Micheal,Garcia,Plaintiff
CIV-100167,Leon,Gomez,Defendant
CIV-100167,Diana,Rivera,Judge
CIV-100168,Christina,Pennington,Plaintiff
CIV-100168,Timothy,Bryant,Defendant
CIV-100168,Cristian,Baker,Judge
CIV-100169,Alicia,Arnold,Prosecutor
CIV-100169,Jonathan,Marsh,Defendant
CIV-100169,Micheal,Contreras,Judge
CIV-100170,Ryan,Bridges,Plaintiff
CIV-100170,Colleen,Lloyd,Defendant
CIV-100170,Matthew,Weber,Judge
CIV-100171,Connie,Robertson,Plaintiff
CIV-100171,Eric,Williams,Defendant
CIV-100171,Alyssa,Wilson,Judge
CIV-100172,Mary,Johnson,Plaintiff
CIV-100172,Patricia,Thompson,Defendant
CIV-100172,Elizabeth,Ross,Judge
CIV-100173,Jacob,Ferguson,Plaintiff
CIV-100173,Alexander,Floyd,Defendant
CIV-100173,Debbie,Leach,Judge
CIV-100174,Jamie,Mendoza,Plaintiff
CIV-100174,Lisa,Le,Defendant
CIV-100174,Matthew,Blevins,Judge
CIV-100175,Ryan,Warren,Prosecutor
CIV-100175,Melissa,Jackson,Defendant
CIV-100175,Angelica,Ortega,Judge
CIV-100176,Jacob,Chen,Prosecutor
CIV-100176,Brittany,Yates,Defendant
CIV-100176,Ronald,Lee,Judge
CIV-100177,Caitlin,Thomas,Plaintiff
CIV-100177,Sean,Shaw,Defendant
CIV-100177,Daniel,Wood,Judge
CIV-100178,Kyle,Friedman,Plaintiff
CIV-100178,Jonathan,Dickerson,Defendant
CIV-100178,Jonathan,Hall,Judge
CIV-100179,Michelle,Smith,Plaintiff
CIV-100179,Karen,Smith,Defendant
CIV-100179,Cory,Mitchell,Judge
CIV-100180,Jerry,Jones,Plaintiff
CIV-100180,Robert,Wagner,Defendant
CIV-100180,Emily,Green,Judge
CIV-100181,Laura,Patterson,Plaintiff
CIV-100181,Cindy,Mcgrath,Defendant
CIV-100181,Patrick,King,Judge
CIV-100182,Trevor,Golden,Plaintiff
CIV-100182,Dana,Salas,Defendant
CIV-100182,Brandon,Morrison,Judge
CIV-100183,Christian,Gray,Prosecutor
CIV-100183,Virginia,Fields,Defendant
CIV-100183,Vincent,Ellis,Judge
CIV-100184,Ricky,Morris,Plaintiff
CIV-100184,Melissa,Mcdonald,Defendant
CIV-100184,Nicholas,White,Judge
CIV-100185,Christina,Yang,Plaintiff
CIV-100185,Sheila,Chung,Defendant
CIV-100185,Joshua,Edwards,Judge
CIV-100186,Lisa,Hill,Plaintiff
CIV-100186,Zachary,Hester,Defendant
CIV-100186,James,Cannon,Judge
CIV-100187,Katherine,Ford,Plaintiff
CIV-100187,Amber,Schmidt,Defendant
CIV-100187,Lisa,Williams,Judge
CIV-100188,David,Santos,Prosecutor
CIV-100188,Andrew,Tate,Defendant
CIV-100188,Holly,Avila,Judge
CIV-100189,Alexis,Quinn,Plaintiff
CIV-100189,Todd,Clark,Defendant
CIV-100189,Heather,Spencer,Judge
CIV-100190,Jesus,Brown,Plaintiff
CIV-100190,Natalie,Duffy,Defendant
CIV-100190,Michelle,Mcfarland,Judge
CIV-100191,Suzanne,Lopez,Plaintiff
CIV-100191,Corey,Weeks,Defendant
CIV-100191,Alex,Davis,Judge
CIV-100192,Amy,Singh,Plaintiff
CIV-100192,Patricia,Walton,Defendant
CIV-100192,Gregory,Cox,Judge
CIV-100193,Jose,Parker,Plaintiff
CIV-100193,James,Stewart,Defendant
CIV-100193,Richard,Perez,Judge
CIV-100194,Brittany,Palmer,Plaintiff
CIV-100194,Jeanne,Ballard,Defendant
CIV-100194,Derek,Morris,Judge
CIV-100195,Lisa,Walker,Plaintiff
CIV-100195,Dennis,Johnson,Defendant
CIV-100195,Michelle,Hall,Judge
CIV-100196,Jessica,Armstrong,Plaintiff
CIV-100196,Angela,Berry,Defendant
CIV-100196,Tonya,Lewis,Judge
CIV-100197,Jeffrey,Harris,Prosecutor
CIV-100197,Marcus,Cook,Defendant
CIV-100197,Diane,Washington,Judge
CIV-100198,Laura,Johnson,Plaintiff
CIV-100198,Justin,Young,Defendant
CIV-100198,Justin,Moreno,Judge
CIV-100199,Mary,Ramirez,Plaintiff
CIV-100199,Joseph,Schmidt,Defendant
CIV-100199,Alexander,Golden,Judge
CIV-100200,Mark,Stark,Plaintiff
CIV-100200,Brittany,Colon,Defendant
CIV-100200,Jessica,Macias,Judge
CIV-100201,Marc,Lewis,Plaintiff
CIV-100201,Jessica,Mccall,Defendant
CIV-100201,Zachary,Martinez,Judge
CIV-100202,Robert,Powell,Plaintiff
CIV-100202,Paula,Henderson,Defendant
CIV-100202,Robert,Johnson,Judge
CIV-100203,Mckenzie,Soto,Prosecutor
CIV-100203,Heather,Garcia,Defendant
CIV-100203,Elizabeth,Larson,Judge
CIV-100204,Joe,Hayden,Plaintiff
CIV-100204,Ashley,Gregory,Defendant
CIV-100204,Joyce,Mills,Judge
CIV-100205,Dawn,Rodriguez,Plaintiff
CIV-100205,Caleb,Winters,Defendant
CIV-100205,David,Cook,Judge
CIV-100206,Joann,Lopez,Plaintiff
CIV-100206,Matthew,Mann,Defendant
CIV-100206,Robert,Collins,Judge
CIV-100207,Kelly,Pugh,Prosecutor
CIV-100207,Carmen,Rodgers,Defendant
CIV-100207,Brittany,Schultz,Judge
CIV-100208,Monica,Taylor,Plaintiff
CIV-100208,Jessica,Gibbs,Defendant
CIV-100208,Jeffrey,Thomas,Judge
CIV-100209,Frederick,Jacobs,Plaintiff
CIV-100209,Alisha,Webb,Defendant
CIV-100209,Sherri,Hill,Judge
CIV-100210,Alexander,Graham,Plaintiff
CIV-100210,Jonathan,Johnson,Defendant
CIV-100210,Michael,Hopkins,Judge
CIV-100211,Frederick,Cook,Plaintiff
CIV-100211,John,Williams,Defendant
CIV-100211,Katherine,Berg,Judge
CIV-100212,James,Perry,Plaintiff
CIV-100212,Brian,Henry,Defendant
CIV-100212,Nathan,Sanchez,Judge
CIV-100213,Ashley,Hutchinson,Plaintiff
CIV-100213,Debra,Phillips,Defendant
CIV-100213,Jennifer,White,Judge
CIV-100214,Steven,Gallagher,Plaintiff
CIV-100214,Ernest,Branch,Defendant
CIV-100214,Jerome,Heath,Judge
